id,time_stamp,gender,age
0,07/09/2019 15:18:53,,
1,07/09/2019 15:19:36,Male,(60-100)
2,07/09/2019 15:19:38,Female,(25-32)
3,07/09/2019 15:19:46,Male,(38-43)
4,07/09/2019 15:20:02,Male,"(None,)"
5,07/09/2019 15:20:16,,
6,07/09/2019 15:20:28,,
7,07/09/2019 15:20:55,,
8,07/09/2019 15:21:00,Female,(60-100)
9,07/09/2019 15:21:04,Male,(38-43)
10,07/09/2019 15:21:08,,
11,07/09/2019 15:21:20,Female,(48-53)
12,07/09/2019 15:28:34,,
13,07/09/2019 15:30:03,,
14,07/09/2019 15:30:35,,
15,07/09/2019 15:30:42,,
16,07/09/2019 15:30:55,Male,(8-12)
17,07/09/2019 15:31:15,Male,(25-32)
18,07/09/2019 15:33:20,Female,"(None,)"
19,07/09/2019 15:34:24,,
20,07/09/2019 15:34:27,Male,(48-53)
21,07/09/2019 15:34:31,Male,(4-6)
22,07/09/2019 15:35:14,Male,(48-53)
23,07/09/2019 15:35:33,Female,(38-43)
24,07/09/2019 15:35:34,Female,(38-43)
25,07/09/2019 15:35:36,Female,(38-43)
26,07/09/2019 15:36:02,Female,"(None,)"
27,07/09/2019 15:36:37,Male,(0-2)
28,07/09/2019 15:36:56,Male,(25-32)
29,07/09/2019 15:37:40,,
30,07/09/2019 15:39:18,Female,(25-32)
31,07/09/2019 15:39:27,Male,(25-32)
32,07/09/2019 15:40:18,Male,"(None,)"
